Matchday;HomeTeam;HomeFP;HomeGoals;AwayGoals;AwayFP;AwayTeam;Result
1;SPIAZE;67.5;1;1;71;HORTO;X
1;PFP;68;1;2;75.5;SATANIA;2
1;SAYONARA;73.5;2;2;75.5;SQUADRADABBATTERE;X
1;NINUZZO;74.5;2;2;72.5;OFF;X
1;ISAMU;64;0;2;74.5;PRONOSTICI;2
2;SATANIA;74;2;3;78.5;SPIAZE;2
2;OFF;66.5;1;4;83.5;ISAMU;2
2;SQUADRADABBATTERE;71;1;1;66.5;NINUZZO;X
2;HORTO;64.5;0;2;74.5;SAYONARA;2
2;PRONOSTICI;72;2;1;67;PFP;1
3;SPIAZE;76;2;3;79;PRONOSTICI;2
3;PFP;79;3;1;70.5;OFF;1
3;SAYONARA;69;1;1;71;SATANIA;X
3;HORTO;75.5;2;2;74.5;SQUADRADABBATTERE;X
3;ISAMU;64;0;2;73.5;NINUZZO;2
4;SATANIA;64;0;1;71;HORTO;2
4;NINUZZO;84;4;2;74.5;PFP;1
4;OFF;67;1;1;71;SPIAZE;X
4;SQUADRADABBATTERE;74.5;2;1;71;ISAMU;1
4;PRONOSTICI;69;1;1;66.5;SAYONARA;X
5;SPIAZE;70;1;1;67.5;NINUZZO;X
5;PFP;79;3;2;76;ISAMU;1
5;SATANIA;70;1;1;70;SQUADRADABBATTERE;X
5;SAYONARA;71;1;1;69;OFF;X
5;HORTO;69;1;1;70.5;PRONOSTICI;X
6;NINUZZO;82.5;4;2;75;SAYONARA;1
6;OFF;72;2;2;75;HORTO;X
6;SQUADRADABBATTERE;66;1;0;64.5;PFP;1
6;PRONOSTICI;54;0;2;72;SATANIA;2
6;ISAMU;68.5;1;2;75.5;SPIAZE;2
7;SPIAZE;60;0;1;66;PFP;2
7;SATANIA;69;1;2;72;OFF;2
7;SAYONARA;67;1;2;72;ISAMU;2
7;HORTO;72;2;1;68;NINUZZO;1
7;PRONOSTICI;77.5;3;1;70.5;SQUADRADABBATTERE;1
8;SPIAZE;68.5;1;3;78;SQUADRADABBATTERE;2
8;PFP;61;0;0;63.5;SAYONARA;X
8;NINUZZO;64.5;0;1;68;SATANIA;2
8;OFF;71.5;1;1;69.5;PRONOSTICI;X
8;ISAMU;67;1;3;80.5;HORTO;2
9;SATANIA;68.5;1;0;63;ISAMU;1
9;SAYONARA;75.5;2;2;74.5;SPIAZE;X
9;SQUADRADABBATTERE;77.5;3;1;68;OFF;1
9;HORTO;68.5;1;2;76.5;PFP;2
9;PRONOSTICI;83;4;1;66.5;NINUZZO;1
10;SPIAZE;79;3;0;63;SATANIA;1
10;PFP;67;1;1;68;NINUZZO;X
10;SQUADRADABBATTERE;82;4;1;67.5;PRONOSTICI;1
10;HORTO;80;3;2;74;OFF;1
10;ISAMU;64;0;1;68;SAYONARA;2
11;SATANIA;65;0;2;72;PFP;2
11;SAYONARA;68;1;0;62;HORTO;1
11;PRONOSTICI;64;0;1;69.5;ISAMU;2
11;OFF;70;1;2;74.5;SQUADRADABBATTERE;2
11;NINUZZO;68;1;2;75.5;SPIAZE;2
12;ISAMU;73.5;2;2;75;SATANIA;X
12;HORTO;68.5;1;1;68.5;SPIAZE;X
12;PFP;75.5;2;0;64.5;SQUADRADABBATTERE;1
12;NINUZZO;77.5;3;1;69.5;PRONOSTICI;1
12;OFF;89.5;6;1;68.5;SAYONARA;1
13;ISAMU;65.5;0;1;68;PFP;2
13;SQUADRADABBATTERE;72.5;2;2;75.5;SATANIA;X
13;SPIAZE;65;0;2;74.5;OFF;2
13;SAYONARA;70;1;2;75;NINUZZO;2
13;PRONOSTICI;69.5;1;2;76;HORTO;2
14;SPIAZE;62.5;0;2;73;ISAMU;2
14;PFP;70.5;1;2;73.5;PRONOSTICI;2
14;OFF;64.5;0;2;74.5;NINUZZO;2
14;SQUADRADABBATTERE;61;0;1;69;HORTO;2
14;SATANIA;78;3;1;70;SAYONARA;1
15;HORTO;65;0;1;68;ISAMU;2
15;PRONOSTICI;66.5;1;0;62;SPIAZE;1
15;SAYONARA;70;1;1;66.5;PFP;X
15;NINUZZO;64;0;0;60;SQUADRADABBATTERE;X
15;OFF;63.5;0;4;84;SATANIA;2
16;ISAMU;66;1;3;77;OFF;2
16;NINUZZO;68;1;2;72.5;HORTO;2
16;PFP;63;0;3;77.5;SPIAZE;2
16;SQUADRADABBATTERE;74;2;1;67.5;SAYONARA;1
16;SATANIA;73.5;2;2;76;PRONOSTICI;X
17;SPIAZE;67;1;4;82;SAYONARA;2
17;PFP;67.5;1;2;76.5;HORTO;2
17;SATANIA;81;4;1;70.5;NINUZZO;1
17;PRONOSTICI;83;4;0;64.5;OFF;1
17;ISAMU;68;1;1;66;SQUADRADABBATTERE;X
18;SAYONARA;70.5;1;1;68.5;PRONOSTICI;X
18;NINUZZO;80;3;0;64;ISAMU;1
18;OFF;77.5;3;0;61.5;PFP;1
18;SQUADRADABBATTERE;66;1;2;75.5;SPIAZE;2
18;HORTO;74;2;2;75;SATANIA;X
19;SPIAZE;65;0;0;65;SAYONARA;X
19;ISAMU;60;0;1;71.5;PFP;2
19;SQUADRADABBATTERE;68;1;5;87;NINUZZO;2
19;SATANIA;70;1;1;71.5;HORTO;X
19;OFF;74;2;3;77.5;PRONOSTICI;2
20;PFP;74;2;0;62.5;SPIAZE;1
20;HORTO;79;3;5;87.5;OFF;2
20;NINUZZO;71.5;1;4;84.5;SATANIA;2
20;SAYONARA;71.5;1;3;77;SQUADRADABBATTERE;2
20;PRONOSTICI;73.5;2;1;67;ISAMU;1
21;SPIAZE;69;1;1;66.5;PRONOSTICI;X
21;ISAMU;72.5;2;1;70.5;HORTO;1
21;SQUADRADABBATTERE;69;1;3;77;PFP;2
21;SAYONARA;72.5;2;2;74;NINUZZO;X
21;OFF;67;1;0;63.5;SATANIA;1
22;PFP;66;1;3;77;SAYONARA;2
22;SATANIA;69;1;2;73.5;ISAMU;2
22;HORTO;81.5;4;0;62.5;SPIAZE;1
22;NINUZZO;82.5;4;0;64;OFF;1
22;PRONOSTICI;78.5;3;1;69;SQUADRADABBATTERE;1
23;SPIAZE;77;3;2;73.5;SATANIA;1
23;ISAMU;67;1;0;65;OFF;1
23;PFP;71;1;1;71.5;NINUZZO;X
23;SQUADRADABBATTERE;72.5;2;3;80.5;HORTO;2
23;SAYONARA;72.5;2;1;69;PRONOSTICI;1
24;SATANIA;77;3;1;67;SQUADRADABBATTERE;1
24;HORTO;68.5;1;5;87.5;SAYONARA;2
24;NINUZZO;79;3;1;69;ISAMU;1
24;PRONOSTICI;72.5;2;3;80.5;PFP;2
24;OFF;77;3;0;65;SPIAZE;1
25;SPIAZE;77;3;3;77;ISAMU;X
25;PFP;66;1;0;64;HORTO;1
25;SQUADRADABBATTERE;74;2;1;71;OFF;1
25;SAYONARA;69;1;2;72;SATANIA;2
25;PRONOSTICI;63;0;0;63.5;NINUZZO;X
26;SPIAZE;78.5;3;0;64;NINUZZO;1
26;ISAMU;69.5;1;1;68;SQUADRADABBATTERE;X
26;SATANIA;61;0;1;68.5;PFP;2
26;HORTO;72;2;2;73.5;PRONOSTICI;X
26;OFF;67.5;1;2;73;SAYONARA;2
27;PFP;77.5;3;1;71;OFF;1
27;SQUADRADABBATTERE;68.5;1;3;78.5;SPIAZE;2
27;NINUZZO;77.5;3;2;73;HORTO;1
27;SAYONARA;72;2;1;70;ISAMU;1
27;PRONOSTICI;69.5;1;0;58;SATANIA;1
28;SPIAZE;67.5;1;2;72.5;PFP;2
28;ISAMU;70.5;1;3;78.5;SATANIA;2
28;NINUZZO;66.5;1;1;68;PRONOSTICI;X
28;SAYONARA;68;1;2;73.5;HORTO;2
28;OFF;74;2;0;65;SQUADRADABBATTERE;1
29;PFP;72.5;2;2;74.5;ISAMU;X
29;SQUADRADABBATTERE;67.5;1;2;75.5;SAYONARA;2
29;PRONOSTICI;68;1;1;68.5;OFF;X
29;HORTO;79;3;1;68;NINUZZO;1
29;SATANIA;66.5;1;1;70;SPIAZE;X
30;OFF;71;1;2;75.5;PFP;2
30;SAYONARA;57;0;1;70.5;SPIAZE;2
30;ISAMU;77;3;2;72.5;NINUZZO;1
30;SATANIA;80.5;3;3;80;PRONOSTICI;X
30;HORTO;75.5;2;1;71.5;SQUADRADABBATTERE;1
31;OFF;;;;;ISAMU;
