# Player;Stats
1   David de Gea Total matches : 30;2,700 (https://www.fotmob.com/en-GB/players/182917/david-de-gea)
1   Elia Caprile Total matches : 30;2,700 (https://www.fotmob.com/en-GB/players/958422/elia-caprile)
1   Jean Butez Total matches : 30;2,700 (https://www.fotmob.com/en-GB/players/560939/jean-butez)
1   Marco Carnesecchi Total matches : 30;2,700 (https://www.fotmob.com/en-GB/players/1013021/marco-carnesecchi)
1   Mile Svilar Total matches : 30;2,700 (https://www.fotmob.com/en-GB/players/768474/mile-svilar)
1   Wladimiro Falcone Total matches : 30;2,700 (https://www.fotmob.com/en-GB/players/362200/wladimiro-falcone)
7   Johan Vásquez Total matches : 30;2,677 (https://www.fotmob.com/en-GB/players/914103/johan-vasquez)
8   Jesper Karlström Total matches : 30;2,643 (https://www.fotmob.com/en-GB/players/322003/jesper-karlstrom)
9   Arijanet Muric Total matches : 29;2,610 (https://www.fotmob.com/en-GB/players/760752/arijanet-muric)
10   Jay Idzes Total matches : 29;2,609 (https://www.fotmob.com/en-GB/players/937412/jay-idzes)
11   Victor Nelsson Total matches : 30;2,596 (https://www.fotmob.com/en-GB/players/776594/victor-nelsson)
12   Tiago Gabriel Total matches : 30;2,590 (https://www.fotmob.com/en-GB/players/1574492/tiago-gabriel)
13   Mike Maignan Total matches : 29;2,576 (https://www.fotmob.com/en-GB/players/466439/mike-maignan)
14   Pierre Kalulu Total matches : 29;2,562 (https://www.fotmob.com/en-GB/players/1131217/pierre-kalulu)
15   Gianluca Mancini Total matches : 29;2,536 (https://www.fotmob.com/en-GB/players/588687/gianluca-mancini)
16   Ylber Ramadani Total matches : 29;2,522 (https://www.fotmob.com/en-GB/players/762028/ylber-ramadani)
17   Yann Sommer Total matches : 28;2,520 (https://www.fotmob.com/en-GB/players/41618/yann-sommer)
18   Marco Palestra Total matches : 29;2,511 (https://www.fotmob.com/en-GB/players/1473806/marco-palestra)
19   Dodô Total matches : 29;2,509 (https://www.fotmob.com/en-GB/players/750734/dodo)
20   Mateo Pellegrino Total matches : 30;2,482 (https://www.fotmob.com/en-GB/players/1224237/mateo-pellegrino)
21   Simone Canestrelli Total matches : 29;2,481 (https://www.fotmob.com/en-GB/players/897315/simone-canestrelli)
22   Antonino Gallo Total matches : 30;2,478 (https://www.fotmob.com/en-GB/players/879065/antonino-gallo)
23   Marin Pongracic Total matches : 28;2,470 (https://www.fotmob.com/en-GB/players/831474/marin-pongracic)
24   Morten Frendrup Total matches : 29;2,466 (https://www.fotmob.com/en-GB/players/921543/morten-frendrup)
