#;Nome;Squadra Serie A;Ruolo;Ruolo Mantra
2764;Martinez L.;Inter;A;Pc
254;Dimarco;Inter;D;E
5585;Malen;Roma;A;A
6434;Yildiz;Juventus;A;A
6875;Paz N.;Como;C;T/A
2194;Calhanoglu;Inter;C;M/C
2423;Pulisic;Milan;C;T/A
6052;Hojlund;Napoli;A;Pc
4777;McTominay;Napoli;C;C/T
2379;Rabiot;Milan;C;C/T
4871;Thuram;Inter;A;Pc
4510;Leao;Milan;A;A
7017;Douvikas;Como;A;Pc
4973;McKennie;Juventus;C;M/C
7126;Baturina;Como;C;T
5637;Davis K.;Udinese;A;Pc
2167;Orsolini;Bologna;C;W/A
2097;Kean;Fiorentina;A;Pc
5687;Vlasic;Torino;C;T
531;Berardi;Sassuolo;A;A
2517;De Bruyne;Napoli;C;T
5841;Svilar;Roma;P;Por
2137;Scamacca;Atalanta;A;Pc
2766;Zaniolo;Udinese;C;T/A
4312;Maignan;Milan;P;Por
2606;Modric;Milan;C;C
6832;Palestra;Cagliari;D;E
5734;Soulè;Roma;A;A
1933;Mandragora;Fiorentina;C;M/C
6966;Butez;Como;P;Por
2061;Simeone;Torino;A;Pc
4431;Carnesecchi;Atalanta;P;Por
7071;Esposito F.P.;Inter;A;Pc
5800;Gudmundsson A.;Fiorentina;C;T/A
2788;Bremer;Juventus;D;Dc
7023;Pellegrino M.;Parma;A;Pc
6151;Perrone;Como;C;M/C
4220;Zambo Anguissa;Napoli;C;M/C
4976;Kalulu;Juventus;D;Dd/Dc
2428;Sommer;Inter;P;Por
4892;Saelemaekers;Milan;C;E/W
827;Locatelli;Juventus;C;M/C
6717;Konè I.;Sassuolo;C;M/C
4159;Akanji;Inter;D;Dc
6435;Krstovic;Atalanta;A;Pc
5995;De Ketelaere;Atalanta;A;A
2038;Pinamonti;Sassuolo;A;Pc
152;Zielinski;Inter;C;C/T
6572;Castro S.;Bologna;A;Pc
6908;Atta;Udinese;C;C
6884;Conceicao;Juventus;C;W/A
4463;Esposito Se.;Cagliari;A;A
2120;Bastoni;Inter;D;Dc
5562;Thuram K.;Juventus;C;M/C
4317;N'Dicka;Roma;D;Dc
7314;Taylor K.;Lazio;C;C/T
5559;Da Cunha;Como;C;C/W/T
4427;Malinovskyi;Genoa;C;C/T
1852;Spinazzola;Napoli;D;Ds/E
5022;Pavlovic;Milan;D;Dc
4923;Colombo;Genoa;A;Pc
1870;Barella;Inter;C;C
4371;Raspadori;Atalanta;A;A
6217;Bisseck;Inter;D;Dc
7181;Wesley;Roma;D;E
6956;Solet;Udinese;D;Dc
5750;Ostigard;Genoa;D;Dc
2296;Mancini;Roma;D;Dc
632;Zaccagni;Lazio;C;W/A
530;Pellegrini Lo.;Roma;C;C/T
5885;Dodò;Fiorentina;D;E
5589;Konè M.;Roma;C;M/C
6398;Isaksen;Lazio;C;W/A
6060;Laurientè;Sassuolo;A;A
2832;Boga;Juventus;A;W/A
4686;Fofana Y.;Milan;C;M/C
779;Cristante;Roma;C;M/C
6164;Vitinha O.;Genoa;A;Pc
6831;Neres;Napoli;C;W/A
4465;Fagioli;Fiorentina;C;C
2816;Di Lorenzo;Napoli;D;Dd/E
7337;Motta;Lazio;P;Por
218;Perin;Juventus;P;Por
6967;Diao;Como;A;W/A
7351;Santos A.;Napoli;C;W/A
5792;Ederson D.S.;Atalanta;C;M/C
6646;Adams C.;Torino;A;A
4728;Nkunku;Milan;A;A
2499;Vardy;Cremonese;A;Pc
5422;Zalewski;Atalanta;C;E/W
4486;Strefezza;Parma;C;W/A
22;De Roon;Atalanta;C;M/C
5514;Vasquez;Genoa;D;Ds/Dc
4751;Tomori;Milan;D;Dc
2134;Falcone;Lecce;P;Por
441;Belotti;Cagliari;A;Pc
309;Dybala;Roma;A;A
6684;Ekkelenkamp;Udinese;C;C/T
6666;Bernabè;Parma;C;C
2814;Provedel;Lazio;P;Por
5844;Thorstvedt;Sassuolo;C;C/T
4287;Lobotka;Napoli;C;M/C
6869;Ramon;Como;D;Dc
6552;Orban G.;Verona;A;Pc
2077;Pasalic;Atalanta;C;C/T
6893;Kempf;Como;D;Dc
5544;David;Juventus;A;Pc
2841;Vlahovic;Juventus;A;Pc
2531;Lukaku;Napoli;A;Pc
4479;Elmas;Napoli;C;W/T
333;Cataldi;Lazio;C;M/C
6844;Rowe;Bologna;C;W/T
5504;Coulibaly L.;Lecce;C;M/C
5455;Moreo;Pisa;A;A
7223;Vergara;Napoli;C;W/T
536;Politano;Napoli;C;W
4409;Rrahmani;Napoli;D;Dc
554;Zappacosta;Atalanta;D;E
4360;Caprile;Cagliari;P;Por
7129;Rodriguez Je.;Como;A;W/A
6380;Solomon;Fiorentina;A;W/A
5791;Frendrup;Genoa;C;M/C
2170;Milinkovic-Savic V.;Napoli;P;Por
6680;Karlstrom;Udinese;C;M/C
4947;Brescianini;Fiorentina;C;C/T
2765;Odgaard;Bologna;C;T/A
6766;Kelly L.;Juventus;D;Ds/Dc
4994;Vojvoda;Como;D;Dd/E
7199;Kilicsoy;Cagliari;A;A
7133;Vandeputte;Cremonese;C;W/T
6989;Tiago Gabriel;Lecce;D;Dc
