Match Number,Round Number,Date,Home Team,Away Team,Result,Sofascore Match ID,Fotmob Match ID
1,1,23/08/2025 16:30,Genoa,Lecce,0 - 0,,
2,1,23/08/2025 16:30,Sassuolo,Napoli,0 - 2,,
3,1,23/08/2025 18:45,Milan,Cremonese,1 - 2,,
4,1,23/08/2025 18:45,Roma,Bologna,1 - 0,,
5,1,24/08/2025 16:30,Cagliari,Fiorentina,1 - 1,,
6,1,24/08/2025 16:30,Como,Lazio,2 - 0,,
7,1,24/08/2025 18:45,Atalanta,Pisa,1 - 1,,
8,1,24/08/2025 18:45,Juventus,Parma,2 - 0,,
9,1,25/08/2025 16:30,Udinese,Hellas Verona,1 - 1,,
10,1,25/08/2025 18:45,Inter,Torino,5 - 0,,
11,2,29/08/2025 16:30,Cremonese,Sassuolo,3 - 2,,
12,2,29/08/2025 18:45,Lecce,Milan,0 - 2,,
13,2,30/08/2025 16:30,Bologna,Como,1 - 0,,
14,2,30/08/2025 16:30,Parma,Atalanta,1 - 1,,
15,2,30/08/2025 18:45,Napoli,Cagliari,1 - 0,,
16,2,30/08/2025 18:45,Pisa,Roma,0 - 1,,
17,2,31/08/2025 16:30,Genoa,Juventus,0 - 1,,
18,2,31/08/2025 16:30,Torino,Fiorentina,0 - 0,,
19,2,31/08/2025 18:45,Inter,Udinese,1 - 2,,
20,2,31/08/2025 18:45,Lazio,Hellas Verona,4 - 0,,
21,3,13/09/2025 13:00,Cagliari,Parma,2 - 0,,
22,3,13/09/2025 16:00,Juventus,Inter,4 - 3,,
23,3,13/09/2025 18:45,Fiorentina,Napoli,1 - 3,,
24,3,14/09/2025 10:30,Roma,Torino,0 - 1,,
25,3,14/09/2025 13:00,Atalanta,Lecce,4 - 1,,
26,3,14/09/2025 13:00,Pisa,Udinese,0 - 1,,
27,3,14/09/2025 16:00,Sassuolo,Lazio,1 - 0,,
28,3,14/09/2025 18:45,Milan,Bologna,1 - 0,,
29,3,15/09/2025 16:30,Hellas Verona,Cremonese,0 - 0,,
30,3,15/09/2025 18:45,Como,Genoa,1 - 1,,
39,4,19/09/2025 18:45,Lecce,Cagliari,1 - 2,,
34,4,20/09/2025 13:00,Bologna,Genoa,2 - 1,,
33,4,20/09/2025 16:00,Hellas Verona,Juventus,1 - 1,,
32,4,20/09/2025 18:45,Udinese,Milan,0 - 3,,
38,4,21/09/2025 10:30,Lazio,Roma,0 - 1,,
31,4,21/09/2025 13:00,Torino,Atalanta,0 - 3,,
35,4,21/09/2025 13:00,Cremonese,Parma,0 - 0,,
36,4,21/09/2025 16:00,Fiorentina,Como,1 - 2,,
37,4,21/09/2025 18:45,Inter,Sassuolo,2 - 1,,
40,4,22/09/2025 18:45,Napoli,Pisa,3 - 2,,
42,5,27/09/2025 13:00,Como,Cremonese,1 - 1,,
44,5,27/09/2025 16:00,Juventus,Atalanta,1 - 1,,
41,5,27/09/2025 18:45,Cagliari,Inter,0 - 2,,
50,5,28/09/2025 10:30,Sassuolo,Udinese,3 - 1,,
48,5,28/09/2025 13:00,Pisa,Fiorentina,0 - 0,,
